SCaLE Budget 2014-2023,,"$1,782,900",Actual (20x),,Actual (19x),,,,Actual (18x),,Actual (17x),,Actual (16x),,Actual (15x),,Actual (14x),,Actual (13x),,Actual (12x),
Okteto,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
OpenCost,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
PagerDuty,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Port,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
ProsperOps,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Quest,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Replicated, Inc.",1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Retool,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
ScoutAPM,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Spacelift, Inc.",1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Supplyframe,1,"$3,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Reception,"$3,500",None,$0,None,$0
Temporal Technologies Inc,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Tetrate.io,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
TuxCare,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Veryant,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Willing Minds,1,"$3,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Reception,"$3,500",None,$0,None,$0
Aerospace Corporation,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Anchore,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
Apcera,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Aurio,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Beachbody,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Bitergia,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Buoyant, Inc.",1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0
CFEngine,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000"
Chaossearch,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Circonus,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Citrix Systems Inc.,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0
Coastline College,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Codestream,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0
Cribl Inc,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
"Crunchy Data Solutions, Inc.",1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Datera,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Dell Technologies,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
"Diamanti, Inc.",1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0
